ensgene	SRR13593674	SRR13593675	SRR13593676	SRR13593677	Sum Controls	Sum Treatment	Mean Controls	Mean Treatment	STD Controls	STD Treatment	RPM_controls	RPM_cpt-cef	L2F	p-value	adjusted-p-value
ENSG00000196517	2.807673316	2.941987458	2.943921194	2.915378688	5.749660774	5.859299882	2.874830387	2.929649941	0.09497444061745289	0.020182599544657696	41.197769409993214	42.02851786694415	0.0288023538226122	0.20264962184323818	1.0
ENSG00000103066	4.616687897	4.550883854	4.609346791	4.452945424	9.167571751	9.062292215	4.5837858755	4.5311461075	0.04653048503479115	0.11059246719254588	65.68796349780371	65.00345057327726	-0.015112736198427963	0.20269644768404219	1.0
ENSG00000221947	1.766300342	1.772946404	1.773181956	1.842486043	3.539246746	3.6156679990000002	1.769623373	1.8078339995000001	0.004699475508386195	0.04900538988164255	25.35959547146265	25.935038341993792	0.032370770333555385	0.20309442285052995	1.0
ENSG00000155324	5.043192775	5.092525684	5.235301144	5.026278204	10.135718459	10.261579348	5.0678592295	5.130789674	0.034883634489559084	0.14780153829754925	72.62497881035752	73.6058880166535	0.01935534001056665	0.203248325949534	1.0
ENSG00000152253	2.950815804	3.118065348	3.063578452	3.15076342	6.0688811519999994	6.214341872	3.0344405759999997	3.107170936	0.11826328671275795	0.06164908209033236	43.48506392018146	44.575219507198305	0.03572194751841256	0.20385413116080936	1.0
ENSG00000131779	5.44781473	5.449298965	5.407267695	5.59622679	10.897113695	11.003494485000001	5.4485568475	5.5017472425000005	0.0010495126333740625	0.13361425744137334	78.08056768691189	78.92761488148797	0.015566610899490213	0.20387014482092358	1.0
ENSG00000168255	4.713695637	4.897989492	4.907977774	4.824802609	9.611685129	9.732780383	4.8058425645	4.8663901915	0.1303154346015103	0.05881372319781006	68.8701478488308	69.81283471743612	0.019613518432586737	0.20396183790508993	1.0
ENSG00000143630	2.01546287	2.263311372	2.013739546	2.016695055	4.278774242	4.030434601	2.139387121	2.0152173005	0.17525535647112764	0.002089860455757849	30.658496476253944	28.910142175870014	-0.08471124370763981	0.20425224140166148	1.0
ENSG00000125686	7.671686374	7.780684357	7.882703063	7.677962163	15.452370731	15.560665226000001	7.7261853655	7.780332613000001	0.07707321291495609	0.1447736787762368	110.72013310631992	111.61601379741047	0.011626446201093748	0.20427848287572212	1.0
ENSG00000131127	2.452677727	2.32986568	2.365494618	2.282047945	4.782543407	4.647542563	2.3912717035	2.3237712815	0.08684123124510101	0.05900570834575644	34.268129585286275	33.33663229057251	-0.03975908039753618	0.20438773085745923	1.0
